feature_name,mean_abs_shap
numeric__watch_time_last_30d,1.0903558
numeric__completion_rate,0.59146786
numeric__days_since_last_session,0.49035975
numeric__sessions_last_30d,0.48631272
numeric__content_diversity_score,0.34503242
numeric__skip_rate,0.32611114
numeric__feature_usage_score,0.23449264
numeric__active_days_last_30d,0.19545597
numeric__watchlist_additions_last_30d,0.19537075
numeric__avg_session_duration_min,0.15421362
numeric__search_activity_last_30d,0.1257166
numeric__tenure_days,0.11412725
numeric__searches_per_session,0.10288976
numeric__watchlist_additions_per_session,0.085477516
categorical__plan_student,0.07209651
numeric__watch_time_per_active_day,0.06451296
numeric__num_services,0.044590607
numeric__sessions_per_active_day,0.032061156
categorical__age_group_18_24,0.028845627
categorical__bundle_type_bundle,0.0282584
categorical__primary_device_tv,0.02579245
categorical__primary_device_desktop,0.024831923
categorical__plan_family,0.024808507
categorical__primary_device_mobile,0.02318612
categorical__primary_device_tablet,0.022280866
categorical__region_APAC,0.022222364
categorical__age_group_35_44,0.014102952
categorical__plan_premium,0.010927694
categorical__plan_individual,0.0106606865
categorical__age_group_25_34,0.010430423
categorical__age_group_55_plus,0.0055861827
categorical__region_LATAM,0.0050788387
categorical__region_EU,0.0046578813
categorical__region_US,0.0037772795
categorical__age_group_45_54,0.0033295276
categorical__bundle_type_standalone,0.00014075165
